name,url,rating,address,description,latitude,longitude
Appart'City Confort Montpellier Saint Roch,https://www.booking.com/hotel/fr/appart-city-montpellier.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9tb250cGVsbGllckgzWARoTYgBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCgeTGswbAAgHSAiRiYjU3ZGE3MS0yZjVmLTQ0ZTgtOGI0Mi1mMzk1Zjk1ODA1NzjYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=4b4d7200257000ad&srepoch=1718727170&from_sustainable_property_sr=1&from=searchresults,8.1,"29-31, boulevard Berthelot, 34000 Montpellier, France","Appart'City Montpellier - Saint Roch is located near Montpellier's historic city centre, a 15-minute walk from Place de la Comédie and Montpellier central train station. It offers air-conditioned apartments and on-site parking. Free WiFi is available in public areas, while cabled Internet is provided in apartments.

Apartments at Appart'City Montpellier - Saint Roch have a flat-screen TV with Chromecast and private bathroom. Each apartment also has a fully-equipped kitchenette with a microwave and fridge. All apartments can be accessed by an elevator.

A buffet breakfast is served daily on site. Breakfast is composed of various breads, pastries, fresh and hot beverages. Fresh fruit and fruit salad, as well as cheeses and yogurts are also provided. Additional facilities include a 24-hour reception desk.

The hotel is conveniently located just 300 metres from Nouveau Saint-Roch tram stop offering a direct transport link to the central station. Montpellier’s Arc de Triomphe is a 20-minute walk from the hotel.",43.59979212,3.87222067
Joli studio centre historique et au calme (2),https://www.booking.com/hotel/fr/joli-studio-centre-historique-et-au-calme-2.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9tb250cGVsbGllckgzWARoTYgBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCgeTGswbAAgHSAiRiYjU3ZGE3MS0yZjVmLTQ0ZTgtOGI0Mi1mMzk1Zjk1ODA1NzjYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=4b4d7200257000ad&srepoch=1718727170&from=searchresults,7.5,"7 Rue du Général Claparède, 34000 Montpellier, France","Joli studio centre historique et au calme (2) in Montpellier provides accommodation with free WiFi, 1.1 km from Place de la Comédie, less than 1 km from Montpellier Cathedral of Saint Peter and 2.9 km from Montpellier Town Hall. The property is around 1.4 km from The Corum, 1.2 km from Fabre Museum and 3.6 km from GGL Stadium. The property is 800 metres from the city centre and 800 metres from Montpellier National Opera.

The apartment is equipped with 1 bedroom, 1 bathroom, bed linen, towels, a flat-screen TV with satellite channels, a dining area, a fully equipped kitchenette, and a balcony with quiet street views. The unit at the property features a shower and a dressing room. For added privacy, the accommodation features a private entrance.

Odysseum Shopping Centre is 5.2 km from the apartment, while Agrolpolis International is 6.9 km away. The nearest airport is Montpellier - Mediterranee Airport, 10 km from Joli studio centre historique et au calme (2).",43.60796822,3.87011029
"Le Broc, Charmant T1 Mezz Centre Ville Corum",https://www.booking.com/hotel/fr/le-broc-charmant-t1-mezz-centre-ville-corum.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9tb250cGVsbGllckgzWARoTYgBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCgeTGswbAAgHSAiRiYjU3ZGE3MS0yZjVmLTQ0ZTgtOGI0Mi1mMzk1Zjk1ODA1NzjYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=4b4d7200257000ad&srepoch=1718727170&from=searchresults,10,"2 Rue du Collège Duvergier, 34000 Montpellier, France","Located in Montpellier, 400 metres from Fabre Museum and 600 metres from Place de la Comédie, Le Broc, Charmant T1 Mezz Centre Ville Corum provides city views and free WiFi. The property is around 3 km from Montpellier Town Hall, 600 metres from Montpellier Cathedral of Saint Peter and 700 metres from Montpellier National Opera. The property is 500 metres from The Corum, and within 400 metres of the city centre.

This apartment is equipped with 1 bedroom, a kitchen with a microwave and a toaster, a flat-screen TV, a seating area and 1 bathroom. Towels and bed linen are provided in the apartment. The accommodation is non-smoking.

Odysseum Shopping Centre is 4.3 km from the apartment, while Agrolpolis International is 6.6 km away. The nearest airport is Montpellier - Mediterranee Airport, 9 km from Le Broc, Charmant T1 Mezz Centre Ville Corum.",43.6134022,3.8796723
Spacious room in Montpellier City Center,https://www.booking.com/hotel/fr/spacious-room-in-montpellier-cbd.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9tb250cGVsbGllckgzWARoTYgBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCgeTGswbAAgHSAiRiYjU3ZGE3MS0yZjVmLTQ0ZTgtOGI0Mi1mMzk1Zjk1ODA1NzjYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=4b4d7200257000ad&srepoch=1718727170&from=searchresults,9.3,"15 Rue des Sœurs Noires, 34000 Montpellier, France","Spacious room in Montpellier City Center in Montpellier provides accommodation with free WiFi, less than 1 km from The Corum, a 9-minute walk from Fabre Museum and 700 metres from Place de la Comédie. The property is around 5.5 km from Montpellier Town Hall, 5.9 km from Agrolpolis International and 6.5 km from Montpellier Zoo. The property is 300 metres from the city centre and 700 metres from Montpellier Cathedral of Saint Peter.

Towels and bed linen are featured in the homestay. The accommodation is non-smoking.

Montpellier National Opera is 300 metres from the homestay, while Odysseum Shopping Centre is 6.8 km away. The nearest airport is Montpellier - Mediterranee Airport, 11 km from Spacious room in Montpellier City Center.",43.60895082,3.87513003
Studio St Ursule R2,https://www.booking.com/hotel/fr/appartement-st-ursule-2eme-etages.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9tb250cGVsbGllckgzWARoTYgBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCgeTGswbAAgHSAiRiYjU3ZGE3MS0yZjVmLTQ0ZTgtOGI0Mi1mMzk1Zjk1ODA1NzjYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=4b4d7200257000ad&srepoch=1718727170&from=searchresults,8.5,"29 Rue Sainte-Ursule, 34000 Montpellier, France","Set in Montpellier, 500 metres from Fabre Museum and 800 metres from Place de la Comédie, Studio St Ursule R2 provides accommodation with amenities such as free WiFi and a flat-screen TV. The property is located 500 metres from Montpellier Cathedral of Saint Peter, 3.3 km from Montpellier Town Hall and less than 1 km from Montpellier National Opera. The property is 500 metres from the city centre and 600 metres from The Corum.

The apartment is composed of 1 separate bedroom, a fully equipped kitchen, and 1 bathroom. The accommodation is non-smoking.

Agrolpolis International is 4.4 km from the apartment, while Odysseum Shopping Centre is 4.5 km away. The nearest airport is Montpellier - Mediterranee Airport, 9 km from Studio St Ursule R2.",43.6140107,3.8779165
Les 4 étoiles,https://www.booking.com/hotel/fr/les-4-etoiles.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9tb250cGVsbGllckgzWARoTYgBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCgeTGswbAAgHSAiRiYjU3ZGE3MS0yZjVmLTQ0ZTgtOGI0Mi1mMzk1Zjk1ODA1NzjYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=4b4d7200257000ad&srepoch=1718727170&from_sustainable_property_sr=1&from=searchresults,9.9,"3 Rue Delmas, 34000 Montpellier, France","Set in Montpellier, 1.2 km from Place de la Comédie, les 4 etoiles features air-conditioned rooms and private parking.

You will find a coffee machine in the room. Each room is fitted with a private bathroom. Les 4 etoiles features free WiFi throughout the property.

There is a shared kitchen at the property.

Zenith Sud Montpellier is 4.4 km from les 4 etoiles, while Promenade du Peyrou is 500 metres away. The nearest airport is Montpellier - Mediterranee Airport, 8 km from les 4 etoiles.",43.61042273,3.86381006
Studio à 5 mn à pied de la gare Saint-Roch,https://www.booking.com/hotel/fr/studio-a-5-mn-a-pied-de-la-gare-saint-roch.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9tb250cGVsbGllckgzWARoTYgBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCgeTGswbAAgHSAiRiYjU3ZGE3MS0yZjVmLTQ0ZTgtOGI0Mi1mMzk1Zjk1ODA1NzjYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=4b4d7200257000ad&srepoch=1718727170&from=searchresults,7.6,"29 Rue des Aiguerelles, 34000 Montpellier, France","Located in the centre of Montpellier, 1.5 km from Montpellier Town Hall, Studio à 5 mn à pied de la gare Saint-Roch provides air-conditioned accommodation with free WiFi and a flat-screen TV. The property is around 3.6 km from Odysseum Shopping Centre, 1.6 km from Montpellier Cathedral of Saint Peter and 4.3 km from GGL Stadium. The property is non-smoking and is situated less than 1 km from Montpellier National Opera.

The apartment is composed of 1 bedroom, a fully equipped kitchenette, and 1 bathroom. Towels and bed linen are provided in the apartment.

Popular points of interest near the apartment include Place de la Comédie, The Corum and Fabre Museum. The nearest airport is Montpellier - Mediterranee Airport, 9 km from Studio à 5 mn à pied de la gare Saint-Roch.",43.6022125,3.8842535
Studio au coeur de Montpellier,https://www.booking.com/hotel/fr/studio-au-coeur-de-montpellier-montpellier2.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9tb250cGVsbGllckgzWARoTYgBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCgeTGswbAAgHSAiRiYjU3ZGE3MS0yZjVmLTQ0ZTgtOGI0Mi1mMzk1Zjk1ODA1NzjYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=4b4d7200257000ad&srepoch=1718727170&from=searchresults,7.5,"7 Rue Sainte-Ursule, 34000 Montpellier, France","Studio au coeur de Montpellier in Montpellier offers accommodation with free WiFi, 400 metres from Fabre Museum, 700 metres from Place de la Comédie and 3 km from Montpellier Town Hall. The property is around 400 metres from Montpellier Cathedral of Saint Peter, 700 metres from Montpellier National Opera and 4.3 km from Odysseum Shopping Centre. The property is 400 metres from the city centre and 600 metres from The Corum.

The apartment is composed of 1 bedroom, a fully equipped kitchenette, and 1 bathroom. Towels and bed linen are featured in the apartment. The accommodation is non-smoking.

GGL Stadium is 6.1 km from the apartment, while Agrolpolis International is 6.6 km away. The nearest airport is Montpellier - Mediterranee Airport, 9 km from Studio au coeur de Montpellier.",43.61334913,3.87835549
21 Centre Historique - Gare- Place de la Comédie,https://www.booking.com/hotel/fr/21-centre-historique-gare-place-de-la-comedie.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9tb250cGVsbGllckgzWARoTYgBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCgeTGswbAAgHSAiRiYjU3ZGE3MS0yZjVmLTQ0ZTgtOGI0Mi1mMzk1Zjk1ODA1NzjYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=4b4d7200257000ad&srepoch=1718727170&from=searchresults,8.6,"Appartement 21 - 2eme étage 22 Rue Aristide Ollivier, 34000 Montpellier, France","In the centre of Montpellier, located within a short distance of Montpellier Town Hall and Montpellier National Opera, 21 Centre Historique - Gare- Place de la Comédie offers free WiFi, air conditioning and household amenities such as a microwave and coffee machine. The property features inner courtyard views and is less than 1 km from The Corum and a 8-minute walk from Fabre Museum. Place de la Comédie is 500 metres away and Odysseum Shopping Centre is 4 km from the apartment.

The recently renovated apartment is equipped with 1 separate bedroom, 1 bathroom, a fully equipped kitchen with a dining area and oven, and a living room with a flat-screen TV. Towels and bed linen are provided in the apartment. This apartment is non-smoking and soundproof.

Montpellier Cathedral of Saint Peter is 1.1 km from the apartment, while GGL Stadium is 4.7 km away. The nearest airport is Montpellier - Mediterranee Airport, 8 km from 21 Centre Historique - Gare- Place de la Comédie.",43.6064202,3.8823168
Studio sous les toits très bien placé et climatisé,https://www.booking.com/hotel/fr/studio-sous-les-toits-tres-bien-place-et-climatise.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9tb250cGVsbGllckgzWARoTYgBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCgeTGswbAAgHSAiRiYjU3ZGE3MS0yZjVmLTQ0ZTgtOGI0Mi1mMzk1Zjk1ODA1NzjYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=4b4d7200257000ad&srepoch=1718727170&from=searchresults,9.0,"1 Impasse Copé Cambes, 34000 Montpellier, France","Set in the centre of Montpellier, 200 metres from Montpellier National Opera and 500 metres from Place de la Comédie, Studio sous les toits très bien placé et climatisé offers free WiFi and air conditioning. The property is situated 4.4 km from Odysseum Shopping Centre, 4.6 km from GGL Stadium and 7.5 km from Agrolpolis International. The property is non-smoking and is located 2.4 km from Montpellier Town Hall.

The apartment is composed of 1 bedroom, a fully equipped kitchenette, and 1 bathroom. Towels and bed linen are offered in the apartment.

There is a coffee shop on-site.

Popular points of interest near the apartment include The Corum, Fabre Museum and Montpellier Cathedral of Saint Peter. The nearest airport is Montpellier - Mediterranee Airport, 9 km from Studio sous les toits très bien placé et climatisé.",43.6078264,3.8766466
Charmant et lumineux appartement,https://www.booking.com/hotel/fr/charmant-et-lumineux-appartement.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9tb250cGVsbGllckgzWARoTYgBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCgeTGswbAAgHSAiRiYjU3ZGE3MS0yZjVmLTQ0ZTgtOGI0Mi1mMzk1Zjk1ODA1NzjYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=4b4d7200257000ad&srepoch=1718727170&from=searchresults,9.2,"29 Rue Chaptal, 34000 Montpellier, France","In a central area of Montpellier, located within a short distance of Montpellier Cathedral of Saint Peter and Montpellier National Opera, Charmant et lumineux appartement offers free WiFi, air conditioning and household amenities such as a fridge and coffee machine. This recently renovated apartment is located 1.3 km from Place de la Comédie and 3.3 km from GGL Stadium. The property is non-smoking and is set 3.4 km from Montpellier Town Hall.

This apartment comes with 1 bedroom, a kitchen with a microwave and a toaster, a flat-screen TV, a seating area and 1 bathroom equipped with a shower. Towels and bed linen are featured in the apartment. For added privacy, the accommodation features a private entrance.

The Corum is 1.7 km from the apartment, while Fabre Museum is 1.4 km away. The nearest airport is Montpellier - Mediterranee Airport, 12 km from Charmant et lumineux appartement.",43.6047085,3.8697061
OVELIA Montpellier - Les Balcons de Montcalm,https://www.booking.com/hotel/fr/ovelia-montpellier-les-balcons-de-montcalm.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9tb250cGVsbGllckgzWARoTYgBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCgeTGswbAAgHSAiRiYjU3ZGE3MS0yZjVmLTQ0ZTgtOGI0Mi1mMzk1Zjk1ODA1NzjYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=4b4d7200257000ad&srepoch=1718727170&from=searchresults,8.7,"18 Rue de Claret, 34070 Montpellier, France","OVELIA Montpellier - Les Balcons de Montcalm is situated in Montpellier, 1.5 km from Montpellier National Opera, 1.6 km from Montpellier Cathedral of Saint Peter, and 1.9 km from Place de la Comédie. The property is located 2.9 km from GGL Stadium, 3.3 km from Montpellier Town Hall and 3.6 km from The Corum. Private parking can be arranged at an extra charge.

Featuring a private bathroom, units at the apartment complex also feature free WiFi.

Fabre Museum is 1.9 km from the apartment, while Odysseum Shopping Centre is 5.5 km from the property. The nearest airport is Montpellier - Mediterranee Airport, 10 km from OVELIA Montpellier - Les Balcons de Montcalm.",43.6048583,3.8634255
le balcon de Saint Roch,https://www.booking.com/hotel/fr/roucher.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9tb250cGVsbGllckgzWARoTYgBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCgeTGswbAAgHSAiRiYjU3ZGE3MS0yZjVmLTQ0ZTgtOGI0Mi1mMzk1Zjk1ODA1NzjYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=4b4d7200257000ad&srepoch=1718727170&from=searchresults,8.5,"32 Rue Roucher, 34000 Montpellier, France","Right in the centre of Montpellier, situated within a short distance of Montpellier National Opera and Place de la Comédie, le balcon de Saint Roch offers free WiFi, air conditioning and household amenities such as an oven and coffee machine. Boasting free shuttle service, this property also provides guests with a sun terrace. The property is non-smoking and is set 700 metres from Montpellier Cathedral of Saint Peter.

The apartment has 1 bedroom, 1 bathroom, bed linen, towels, a flat-screen TV with satellite channels, a dining area, a fully equipped kitchen, and a balcony with city views. For added privacy, the accommodation has a private entrance and soundproofing.

Montpellier Town Hall is 2.6 km from the apartment, while The Corum is 1 km from the property. The nearest airport is Montpellier - Mediterranee Airport, 9 km from le balcon de Saint Roch.",43.60798576,3.87482351
Studio coeur de ville et au calme (1),https://www.booking.com/hotel/fr/studio-coeur-de-ville-et-au-calme-1-montpellier.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9tb250cGVsbGllckgzWARoTYgBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCgeTGswbAAgHSAiRiYjU3ZGE3MS0yZjVmLTQ0ZTgtOGI0Mi1mMzk1Zjk1ODA1NzjYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=4b4d7200257000ad&srepoch=1718727170&from=searchresults,8.3,"7 Rue du Général Claparède, 34000 Montpellier, France","Set in the centre of Montpellier, just 800 metres from Montpellier National Opera and 1.1 km from Place de la Comédie, Studio coeur de ville et au calme (1) offers accommodation with quiet street views and free WiFi. The property is around 2.9 km from Montpellier Town Hall, 1.4 km from The Corum and 1.1 km from Fabre Museum. The property is non-smoking and is located less than 1 km from Montpellier Cathedral of Saint Peter.

The apartment has 1 bedroom, a flat-screen TV, a fully equipped kitchenette with a microwave and a toaster, and 1 bathroom with a shower. Towels and bed linen are offered in the apartment. For added privacy, the accommodation features a private entrance.

GGL Stadium is 3.6 km from the apartment, while Odysseum Shopping Centre is 5.2 km from the property. The nearest airport is Montpellier - Mediterranee Airport, 10 km from Studio coeur de ville et au calme (1).",43.6079857,3.8701237
Jacques III d'aragon,https://www.booking.com/hotel/fr/jacques-iii-d-aragon.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9tb250cGVsbGllckgzWARoTYgBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCgeTGswbAAgHSAiRiYjU3ZGE3MS0yZjVmLTQ0ZTgtOGI0Mi1mMzk1Zjk1ODA1NzjYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=4b4d7200257000ad&srepoch=1718727170&from=searchresults,9.4,"10 Rue de l'Argenterie, 34000 Montpellier, France","Offering inner courtyard views, Jacques III d'aragon is an accommodation located in Montpellier, 700 metres from The Corum and 500 metres from Fabre Museum. It is set 400 metres from Place de la Comédie and offers luggage storage space. The property is 100 metres from the city centre and 600 metres from Montpellier Cathedral of Saint Peter.

With free WiFi, this 1-bedroom apartment provides a cable flat-screen TV and a kitchenette with an oven and microwave. Towels and bed linen are provided in the apartment. For added privacy, the accommodation features a private entrance.

Montpellier Town Hall is 5.5 km from the apartment, while Agrolpolis International is 5.9 km away. The nearest airport is Montpellier - Mediterranee Airport, 11 km from Jacques III d'aragon.",43.60925165,3.8776916
"Le petit Saint Jean T2, Clim, Centre historique",https://www.booking.com/hotel/fr/le-petit-saint-jean-t2-clim-centre-historique.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9tb250cGVsbGllckgzWARoTYgBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCgeTGswbAAgHSAiRiYjU3ZGE3MS0yZjVmLTQ0ZTgtOGI0Mi1mMzk1Zjk1ODA1NzjYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=4b4d7200257000ad&srepoch=1718727170&from=searchresults,7.7,"8 Rue du Petit Saint-Jean, 34000 Montpellier, France","Right in the heart of Montpellier, situated within a short distance of Montpellier National Opera and Place de la Comédie, Le petit Saint Jean T2, Clim, Centre historique offers free WiFi, air conditioning and household amenities such as a toaster and coffee machine. The property has inner courtyard views and is 1 km from The Corum and 800 metres from Fabre Museum. The property is non-smoking and is located 2.3 km from Montpellier Town Hall.

This apartment features 1 bedroom, a kitchen with an oven and a microwave, a flat-screen TV, a seating area and 1 bathroom. Towels and bed linen are available in the apartment. At the apartment, there is a dressing room for guests to change in.

Dining options are available close to Le petit Saint Jean T2, Clim, Centre historique.

Montpellier Cathedral of Saint Peter is 700 metres from the accommodation, while Odysseum Shopping Centre is 4.4 km from the property. The nearest airport is Montpellier - Mediterranee Airport, 9 km from Le petit Saint Jean T2, Clim, Centre historique.",43.6080942,3.8753738
